Exercise,Difficulty Level,Target Muscle Group,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment
Double Kettlebell Romanian Deadlift,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Contralateral Single Leg Romanian Deadlift,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Bottoms Up Overhead Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Parallette Alternating Shoulder Tap Push Up,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars
Parallette Tuck Planche,Advanced,Abdominals,Rectus Abdominis,Biceps Brachii,,Parallette Bars
Parallette Dive Bomber Push Up,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars
Bodyweight Dive Bomber Push Up,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Bodyweight
Parallette L Sit to Tuck Planche,Expert,Abdominals,Rectus Abdominis,,,Parallette Bars
Double Dumbbell Prone Row,Novice,Back,Latissimus Dorsi,,,Dumbbell
Landmine Standing Oblique Twist,Intermediate,Abdominals,Obliques,,,Landmine
Cable Rope Tall Kneeling High to Low Chop,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable
Single Arm Parallette Plank,Intermediate,Abdominals,Rectus Abdominis,,,Parallette Bars
Single Arm Suspension Plank,Intermediate,Abdominals,Rectus Abdominis,,,Suspension Trainer
Battle Rope Russian Twist,Novice,Abdominals,Obliques,Rectus Abdominis,,Battle Ropes
Bodyweight Bird Dog Knee to Elbow,Beginner,Abdominals,Rectus Abdominis,Obliques,,Bodyweight
Slam Ball Feet Elevated Russian Twist,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Slam Ball
Medicine Ball Feet Elevated Russian Twist,Novice,Abdominals,Obliques,Rectus Abdominis,,Medicine Ball
Double Kettlebell Z Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Bodyweight Forearm Plank Knee to Elbow,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight
Bodyweight Loaded Beast to Alternating Kick Through,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight
Ring False Grip Pull Up,Advanced,Back,Latissimus Dorsi,,,Gymnastic Rings
Double Kettlebell Clean,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell
Double Kettlebell Snatch,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell
Battle Rope Feet Elevated Russian Twist,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Battle Ropes
Superband Dead Bug,Novice,Abdominals,Rectus Abdominis,,,Superband
Parallette V Sit,Expert,Abdominals,Rectus Abdominis,,,Parallette Bars
Barbell Staggered Stance Push Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell
Double Kettlebell Push Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Double Kettlebell Split Jerk,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell
Double Kettlebell High Pull,Intermediate,Shoulders,Posterior Deltoids,,,Kettlebell
Superband Standing Pallof Press,Beginner,Abdominals,Obliques,Rectus Abdominis,,Superband
Superband Half Kneeling Pallof Press,Novice,Abdominals,Obliques,Rectus Abdominis,,Superband
Superband Single Leg Standing Bent Knee Hip External Rotation,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Superband
Barbell Prone Row,Novice,Back,Latissimus Dorsi,,,Barbell
Double Dumbbell Renegade Row Push Up,Intermediate,Back,Latissimus Dorsi,,,Dumbbell
Single Arm Landmine Row to Rotational Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Landmine
Bodyweight Hand Assisted Skater Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Superband Pull Through,Beginner,Glutes,Gluteus Maximus,,,Superband
Miniband Quadruped Hip Extension,Beginner,Glutes,Gluteus Maximus,,,Miniband
Cable Hip Adduction,Novice,Adductors,Adductor Magnus,,,Cable
Superband Tall Kneeling Pallof Press,Novice,Abdominals,Obliques,Rectus Abdominis,,Superband
Slider Eccentric Hamstring Curl,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,,Sliders
Landmine Low Hold Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine
Double Kettlebell Sumo Deadlift,Beginner,Back,Latissimus Dorsi,Gluteus Maximus,Biceps Femoris,Kettlebell
Single Arm Dumbbell Cuban Press,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell
Slider Parallette Knee Tuck,Novice,Abdominals,Rectus Abdominis,,,Sliders
Barbell Reverse Grip Front Raise,Intermediate,Shoulders,Anterior Deltoids,Pectoralis Major,,Barbell
Ring Feet Elevated Pike Push Up,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings
Parallette Straddle Press to Handstand,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars
Ring L Sit,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Ring Tuck Back Lever with Alternating Single Leg Extensions,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Ring Tuck Front Lever with Alternating Single Leg Extensions,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Double Kettlebell Bent Over Row,Beginner,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Kettlebell
Double Kettlebell Bottoms Up Front Rack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Barbell Back Rack Cyclist Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Gravity Boots Inverted Crunch,Advanced,Abdominals,Rectus Abdominis,,,Bodyweight
Double Kettlebell Front Rack Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Overhead Knee Over Toe Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Barbell Back Rack Box Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Front Rack Box Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Standing Rollout,Advanced,Abdominals,Rectus Abdominis,,,Barbell
Stability Ball Cable Russian Twist,Novice,Abdominals,Obliques,Rectus Abdominis,,Stability Ball
Miniband Frog Pump,Beginner,Glutes,Gluteus Maximus,,,Miniband
Miniband Knee Hover Quadruped Fire Hydrant,Advanced,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband
Bodyweight Fire Hydrant,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Bodyweight
Bodyweight Knee Hover Quadruped Fire Hydrant,Intermediate,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Bodyweight
Barbell Seated Reverse Grip Wrist Curl,Intermediate,Forearms,Brachioradialis,,,Barbell
Bodyweight Seated Wall Angels,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Bodyweight
Bodyweight Bent Knee Copenhagen Plank Side Raise,Intermediate,Adductors,Adductor Magnus,,,Bodyweight
Bodyweight Kneeling Side Plank,Beginner,Abdominals,Obliques,Rectus Abdominis,,Bodyweight
Bodyweight Hand Assisted Hip Airplane,Novice,Glutes,Gluteus Medius,Gluteus Minimus,,Bodyweight
Superband Single Leg Tibialis Raise,Beginner,Shins,Tibialis Anterior,,,Superband
Barbell Zercher Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Squat Snatch,Expert,Quadriceps,Quadriceps Femoris,Quadriceps Femoris,,Barbell
Single Arm Kettlebell Push Jerk,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell
Barbell Squat Clean to Split Jerk,Expert,Shoulders,Anterior Deltoids,Gluteus Maximus,,Barbell
Barbell Incline Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,,Barbell
Barbell Hang Squat Clean to Thruster,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Barbell
Barbell Squat Clean Thruster,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Barbell
Bodyweight Copenhagen Plank,Novice,Adductors,Adductor Magnus,,,Bodyweight
Bodyweight Bent Knee Copenhagen Plank,Novice,Adductors,Adductor Magnus,,,Bodyweight
Parallette Kneeling Close Grip Push Up,Beginner,Triceps,Triceps Brachii,Pectoralis Major,,Parallette Bars
Miniband Single Leg Hip Thrust,Novice,Glutes,Gluteus Maximus,,,Miniband
Barbell Deficit Snatch Grip Deadlift,Intermediate,Back,Latissimus Dorsi,,,Barbell
Single Arm Ring Eccentric Chin Up,Expert,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings
Bodyweight Hand Assisted Foot Elevated Knee Over Toe Split Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Bodyweight Foot Elevated Knee Over Toe Split Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Double Kettlebell Thruster,Novice,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell
Double Kettlebell Cossack Squat Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Adductor Magnus,Kettlebell
Double Kettlebell Alternating Cossack Squat Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Adductor Magnus,Kettlebell
Double Kettlebell Tall Kneeling Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Double Kettlebell Front Rack Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Overhead Walking Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Parallette Freestanding Handstand,Expert,Shoulders,Anterior Deltoids,,,Parallette Bars
Parallette L Sit to Handstand,Expert,Shoulders,Anterior Deltoids,,,Parallette Bars
Ring Straddle L Sit,Expert,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Parallette Stalder Press to Handstand,Master,Shoulders,Anterior Deltoids,Rectus Abdominis,,Parallette Bars
Ring Gironda Sternum Chin Up,Expert,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings
Ring Archer Push Up,Advanced,Chest,Pectoralis Major,,,Gymnastic Rings
Single Arm Ring Chin Up,Master,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings
Ring L Sit Archer Pull Up,Expert,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings
Alternating Single Arm Parallette Push Up,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars
Double Dumbbell Incline Bench Prone Y Raise,Novice,Shoulders,Posterior Deltoids,,,Dumbbell
Suspension Face Pull to Overhead Press,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Suspension Trainer
Superband Assisted Bar Muscle Up,Advanced,Back,Latissimus Dorsi,Triceps Brachii,,Superband
Stability Ball Sit Up,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball
Double Kettlebell Shrug,Beginner,Trapezius,Upper Trapezius,,,Kettlebell
Double Kettlebell Squat Clean,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Hollow Body Hold,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell
Ring Scapular Pull Up,Intermediate,Back,Latissimus Dorsi,Rhomboids,,Gymnastic Rings
Bodyweight Side Lying Hip Adduction,Beginner,Adductors,Adductor Magnus,,,Bodyweight
Superband Hollow Body Hold,Intermediate,Abdominals,Rectus Abdominis,,,Superband
Suspension Y Raise,Beginner,Shoulders,Posterior Deltoids,,,Suspension Trainer
Slider Single Leg Eccentric Hamstring Curl,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Sliders
Barbell Reverse Grip Bench Press,Intermediate,Chest,Pectoralis Major,,,Barbell
Double Dumbbell Reverse Grip Bench Press,Novice,Chest,Pectoralis Major,,,Dumbbell
Side Plank Superband Hanging Adduction,Intermediate,Adductors,Adductor Magnus,,,Superband
Single Arm Cable Seated Floor Lat Pulldown,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Cable
Single Arm Resistance Band Half Kneeling Cuban Press,Novice,Shoulders,Posterior Deltoids,,,Resistance Band
Stability Ball Feet Elevated Frog Pump,Novice,Glutes,Gluteus Maximus,,,Stability Ball
Stability Ball Miniband Feet Elevated Frog Pump,Novice,Glutes,Gluteus Maximus,,,Stability Ball
Double Kettlebell Hollow Body Hold with Flutter Kicks,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell
Barbell Overhead Cyclist Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Front Rack Cyclist Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Double Kettlebell Dead Clean to Push Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Double Dumbbell Cuban Press,Novice,Shoulders,Posterior Deltoids,,,Dumbbell
Barbell Cyclist Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Barbell
Double Kettlebell Pendlay Row,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Kettlebell
Alternating Single Arm Landmine Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Landmine
Single Arm Dumbbell Cyclist Thruster,Novice,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Dumbbell
Alternating Single Arm Landmine Cyclist Thruster,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Landmine
Barbell Low Bar Cyclist Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell
Double Kettlebell Front Rack Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Front Rack Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Overhead Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Half Kneeling Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Double Kettlebell Front Rack Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell
Single Arm Kettlebell Overhead Contralateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Dead Clean to Rotational Overhead Press,Intermediate,Shoulders,Anterior Deltoids,,,Kettlebell
Single Arm Kettlebell Rotational Overhead Press,Intermediate,Shoulders,Anterior Deltoids,,,Kettlebell
Single Arm Kettlebell Sumo Deadlift,Novice,Back,Latissimus Dorsi,Gluteus Maximus,Biceps Femoris,Kettlebell
Single Arm Kettlebell Front Rack Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Push Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Double Kettlebell Push Jerk,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell
Single Arm Kettlebell Z Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Single Arm Kettlebell Contralateral Split Squat Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell
Double Kettlebell Split Squat Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell
Kettlebell Swing,Novice,Glutes,Gluteus Maximus,,,Kettlebell
Alternating Single Arm Kettlebell Swing,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell
Alternating Single Arm Kettlebell Clean,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell
Alternating Single Arm Kettlebell Snatch,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell
Single Arm Kettlebell Sots Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Single Arm Kettlebell Bottoms Up Overhead Contralateral Knee Over Toe Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Staggered Stance Swing,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell
Alternating Single Arm Kettlebell Staggered Stance Swing,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell
Single Arm Kettlebell Half Kneeling Swing,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell
Double Kettlebell Outside Swing,Novice,Glutes,Gluteus Maximus,,,Kettlebell
Double Kettlebell Outside Half Snatch,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell
Double Kettlebell Outside Clean,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell
Double Kettlebell Outside Clean and Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Single Arm Kettlebell Side Swing,Intermediate,Abdominals,Obliques,,,Kettlebell
Kettlebell Feet Elevated Russian Twist,Novice,Abdominals,Obliques,Rectus Abdominis,,Kettlebell
Single Arm Kettlebell Clean to Press Windmill,Advanced,Abdominals,Obliques,Rectus Abdominis,,Kettlebell
Single Arm Kettlebell Half Kneeling Windmill,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Kettlebell
Double Kettlebell Front Rack Skater Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Kettlebell Horn Grip Skater Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Front Rack Pistol Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Renegade Row,Intermediate,Back,Latissimus Dorsi,,,Kettlebell
Single Arm Kettlebell Hollow Body Hold with Flutter Kicks,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell
Double Kettlebell Renegade Row Push Up,Intermediate,Back,Latissimus Dorsi,,,Kettlebell
Double Kettlebell Clean to Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell
Kettlebell Alternating Halo to Goblet Squat,Intermediate,Shoulders,Posterior Deltoids,Quadriceps Femoris,,Kettlebell
Single Arm Kettlebell Half Kneeling Contralateral Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Double Kettlebell Seesaw Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Single Arm Kettlebell Side to Side Swing,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell
Single Arm Kettlebell Half Kneeling Clean to Windmill Press,Advanced,Shoulders,Anterior Deltoids,Rectus Abdominis,,Kettlebell
Single Arm Kettlebell Bottoms Up Turkish Get Up,Advanced,Abdominals,Obliques,Rectus Abdominis,,Kettlebell
Single Arm Kettlebell Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell
Alternating Double Kettlebell Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell
Single Arm Kettlebell Bottoms Up Clean to Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Tactical Snatch,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell
Single Arm Kettlebell Snatch to Overhead Contralateral Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell
Double Kettlebell Snatch to Overhead Alternating Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell
Single Arm Kettlebell Clean to Front Rack Contralateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell
Double Kettlebell Clean to Front Rack Alternating Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell
Parallette Push Up to L Sit,Advanced,Chest,Pectoralis Major,Rectus Abdominis,,Parallette Bars
Single Arm Kettlebell Split Jerk,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell
Kettlebell Swing to Bottoms Up Horn Grip Goblet Squat,Intermediate,Glutes,Gluteus Maximus,Quadriceps Femoris,,Kettlebell
Barbell Single Leg Standing Bent Knee Overhead Press,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell
Double Kettlebell Bottoms Up Clean to Front Rack Squat,Advanced,Glutes,Gluteus Maximus,Quadriceps Femoris,,Kettlebell
Single Arm Barbell Bent Press,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell
Double Kettlebell Bottoms Up Overhead Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Bottoms Up Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell
Single Arm Kettlebell Bottoms Up Tactical Snatch,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell
Single Arm Kettlebell Bottoms Up Z Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Double Kettlebell Bottoms Up Z Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Double Kettlebell Sots Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Alternating Double Kettlebell Sots Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Single Arm Kettlebell Bottoms Up Sots Press,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Barbell Overhead Bulgarian Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Bulgarian Split Squat Thruster,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Barbell
Single Arm Barbell Overhead Bulgarian Split Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Double Kettlebell Bottoms Up Sots Press,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Alternating Double Kettlebell Bottoms Up Sots Press,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Double Kettlebell Seesaw Sots Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Double Kettlebell Bottoms Up Seesaw Sots Press,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Bodyweight Standing Wall Angels,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Bodyweight
Alternating Double Kettlebell Z Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Double Kettlebell Seesaw Z Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Double Plate Lu Raise,Novice,Shoulders,Infraspinatus,Posterior Deltoids,,Weight Plate
Single Arm Plate Windmill,Advanced,Abdominals,Obliques,Rectus Abdominis,,Weight Plate
Single Arm Plate Turkish Get Up,Advanced,Abdominals,Obliques,Rectus Abdominis,,Weight Plate
Plate Steering Wheel,Novice,Shoulders,Anterior Deltoids,,,Weight Plate
Double Kettlebell Bottoms Up Seesaw Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Double Kettlebell Bottoms Up Seesaw Z Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Double Kettlebell Bottoms Up Snatch,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell
Alternating Single Arm Kettlebell Bottoms Up Snatch,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell
Alternating Single Arm Kettlebell Around the World High Catch,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell
Alternating Single Arm Kettlebell Tall Kneeling Around the World High Catch,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell
Single Arm Kettlebell Around the World,Novice,Abdominals,Rectus Abdominis,,,Kettlebell
Suspension Single Leg Standing Bent Knee Reverse Fly,Intermediate,Shoulders,Posterior Deltoids,,,Suspension Trainer
Suspension Reverse Fly,Beginner,Shoulders,Posterior Deltoids,,,Suspension Trainer
Suspension Single Leg Standing Bent Knee Y Raise,Intermediate,Shoulders,Posterior Deltoids,,,Suspension Trainer
Suspension Single Leg Standing Bent Knee Face Pull,Intermediate,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Suspension Trainer
Suspension Single Leg Standing Bent Knee Face Pull to Overhead Press,Intermediate,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Suspension Trainer
Alternating Single Arm Kettlebell Around the World,Novice,Abdominals,Rectus Abdominis,,,Kettlebell
Single Arm Kettlebell Tall Kneeling Around the World,Novice,Abdominals,Rectus Abdominis,,,Kettlebell
Alternating Single Arm Tall Kneeling Around the World,Novice,Abdominals,Rectus Abdominis,,,Kettlebell
Single Arm Kettlebell Waiter Clean,Advanced,Glutes,Gluteus Maximus,,,Kettlebell
Single Arm Kettlebell Waiter Clean Hot Potato,Advanced,Glutes,Gluteus Maximus,,,Kettlebell
Alternating Single Arm Kettlebell Waiter Clean,Advanced,Glutes,Gluteus Maximus,,,Kettlebell
Double Kettlebell Waiter Clean,Advanced,Glutes,Gluteus Maximus,,,Kettlebell
Double Kettlebell Waiter Clean to Overhead Press,Advanced,Glutes,Gluteus Maximus,,,Kettlebell
Single Arm Kettlebell Tactical Waiter Clean,Advanced,Glutes,Gluteus Maximus,,,Kettlebell
Single Arm Kettlebell Tactical Waiter Clean to Overhead Press,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell
Double Kettlebell Waiter Clean to Alternating Overhead Press,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell
Single Arm Kettlebell Waiter Snatch,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell
Alternating Single Arm Kettlebell Waiter Snatch,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell
Barbell Overhead Pistol Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Suspension Cuban Press,Novice,Shoulders,Posterior Deltoids,Triceps Brachii,,Suspension Trainer
Suspension Single Leg Standing Bent Knee Cuban Press,Intermediate,Shoulders,Posterior Deltoids,Triceps Brachii,,Suspension Trainer
Single Arm Kettlebell Tactical Waiter Snatch,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell
Single Arm Barbell Overhead Knee Over Toe Split Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Single Arm Barbell Knee Over Toe Split Squat Thruster,Expert,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Barbell
Barbell Knee Over Toe Split Squat Thruster,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Barbell
Double Kettlebell Waiter Snatch,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell
Double Kettlebell Waiter Clean to Thruster,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell
Kettlebell Start Stop Swing,Novice,Glutes,Gluteus Maximus,,,Kettlebell
Double Kettlebell Dead Clean,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell
Single Arm Barbell Bulgarian Split Squat Thruster,Expert,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Barbell
