Exercise,Difficulty Level,Target Muscle Group,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment
Double Dumbbell Overhead Alternating Curtsy Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Front Rack Alternating Curtsy Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Suitcase Alternating Curtsy Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Overhead Alternating Curtsy Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Dumbbell Goblet Alternating Curtsy Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Kettlebell Horn Grip Alternating Curtsy Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Kettlebell Goblet Alternating Curtsy Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Clubbell Order Alternating Curtsy Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Double Clubbell Order Alternating Curtsy Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Single Arm Clubbell Order Alternating Curtsy Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Macebell Order Alternating Curtsy Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Macebell
Single Arm Macebell Order Alternating Curtsy Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Macebell
Bodyweight Alternating Curtsy Lunge,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Heavy Sandbag Bear Hug Alternating Curtsy Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag
Heavy Sandbag Shoulder Alternating Curtsy Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag
Plate Overhead Alternating Curtsy Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Weight Plate
Sandbag Front Rack Alternating Curtsy Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sandbag
Sandbag Back Rack Alternating Curtsy Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sandbag
Plate Hollow Body Hold,Intermediate,Abdominals,Rectus Abdominis,,,Weight Plate
Slider Atomic Push Up,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,,Sliders
Slider Reach Push Up,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Sliders
Slider Kneeling Reach Push Up,Novice,Chest,Pectoralis Major,Triceps Brachii,,Sliders
Double Kettlebell Tuck L Sit,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell
Bodyweight Fingertip Full Planche Push Up,Grand Master,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Bodyweight
Bodyweight Hollow Body Hold with Flutter Kicks,Novice,Abdominals,Rectus Abdominis,,,Bodyweight
Superband Shoulder Dislocates,Novice,Shoulders,Posterior Deltoids,,,Superband
Superband Alternating Shoulder Dislocates,Novice,Shoulders,Posterior Deltoids,,,Superband
Superband Prone Shoulder Dislocates,Novice,Shoulders,Posterior Deltoids,,,Superband
Resistance Band Prone Shoulder Dislocates,Novice,Shoulders,Posterior Deltoids,,,Resistance Band
Resistance Band Alternating Shoulder Dislocates,Novice,Shoulders,Posterior Deltoids,,,Resistance Band
Resistance Band Pull Apart,Beginner,Shoulders,Posterior Deltoids,,,Resistance Band
Bodyweight Feet Elevated Frog Pump,Novice,Glutes,Gluteus Maximus,,,Bodyweight
Miniband Feet Elevated Frog Pump,Novice,Glutes,Gluteus Maximus,,,Miniband
Miniband Feet Elevated Glute Bridge,Novice,Glutes,Gluteus Maximus,,,Miniband
Bodyweight Reverse Plank,Novice,Abdominals,Rectus Abdominis,Gluteus Maximus,Erector Spinae,Bodyweight
Wall Ball Toss,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Anterior Deltoids,Wall Ball
Wall Ball Feet Elevated Russian Twist Lateral Toss,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Wall Ball
Wall Ball Russian Twist Lateral Toss,Novice,Abdominals,Obliques,Rectus Abdominis,,Wall Ball
Wall Ball Lateral Toss,Novice,Abdominals,Obliques,Rectus Abdominis,,Wall Ball
Wall Ball Sit Up Toss,Intermediate,Abdominals,Rectus Abdominis,,,Wall Ball
Double Kettlebell Suitcase Bulgarian Split Squat Jump,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Parallette V Sit to Pike Press Handstand,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Parallette Bars
